id;name;postal_code;commune;numero;voie;lieu_dit;code_insee;siret;activite;contact_url;site_internet;longitude;latitude;transport_station_presence;transport_bureau_de_vote_accessibilite;stationnement_presence;stationnement_pmr;stationnement_ext_presence;stationnement_ext_pmr;cheminement_ext_presence;cheminement_ext_terrain_stable;cheminement_ext_plain_pied;cheminement_ext_ascenseur;cheminement_ext_ascenseur_pmr;cheminement_ext_nombre_marches;cheminement_ext_reperage_marches;cheminement_ext_sens_marches;cheminement_ext_main_courante;cheminement_ext_rampe;cheminement_ext_pente_presence;cheminement_ext_pente_degre_difficulte;cheminement_ext_pente_longueur;cheminement_ext_devers;cheminement_ext_bande_guidage;cheminement_ext_retrecissement;entree_reperage;entree_vitree;entree_vitree_vitrophanie;entree_plain_pied;entree_ascenseur;entree_ascenseur_pmr;entree_marches;entree_marches_reperage;entree_marches_main_courante;entree_marches_rampe;entree_marches_sens;entree_dispositif_appel;entree_dispositif_appel_type;entree_balise_sonore;entree_aide_humaine;entree_largeur_mini;entree_pmr;entree_porte_presence;entree_porte_manoeuvre;entree_porte_type;accueil_visibilite;accueil_personnels;accueil_audiodescription_presence;accueil_audiodescription;accueil_equipements_malentendants_presence;accueil_equipements_malentendants;accueil_cheminement_plain_pied;accueil_cheminement_ascenseur;accueil_cheminement_ascenseur_pmr;accueil_cheminement_nombre_marches;accueil_cheminement_reperage_marches;accueil_cheminement_main_courante;accueil_cheminement_rampe;accueil_cheminement_sens_marches;accueil_ascenseur_etage;accueil_ascenseur_etage_pmr;accueil_classes_accessibilite;accueil_espaces_ouverts;accueil_chambre_nombre_accessibles;accueil_chambre_douche_plain_pied;accueil_chambre_douche_siege;accueil_chambre_douche_barre_appui;accueil_chambre_sanitaires_barre_appui;accueil_chambre_sanitaires_espace_usage;accueil_chambre_numero_visible;accueil_chambre_equipement_alerte;accueil_chambre_accompagnement;accueil_retrecissement;accueil_isoloir_accessibilite;accueil_urne_accessibilite;sanitaires_presence;sanitaires_adaptes;labels;labels_familles_handicap;registre_url;conformite;rnb_id
e11598ab-d914-4b9f-a211-7f15506e1c4d;Laboratoire L & M;46310;Saint-Germain-du-Bel-Air;;Impasse de Marbal;;46267;;Laboratoire d'analyse médicale;;https://www.formationlm.fr/;1.441975;44.64465;;;;;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;;;;;;;
6f5b0bb0-131b-4b00-8bc7-84b3abb46ea9;Laboratoire Lmb;75014;Paris;2;Rue Lalande;;75114;;Laboratoire d'analyse médicale;;https://laboratoires.biogroup.fr/paris/paris/17-rue-froidevaux;2.329036;48.83522;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;79MMAHF1XZ76
a961942a-cd15-4c74-ad61-a5cf0b422621;Laboratoire LMC;20167;Sarrola-Carcopino;;;Lotissement Pasqualini;2A271;;Laboratoire d'analyse médicale;;https://www.terranostra.shop/;8.80767;41.955399;;;;;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;;;;;;;
058cf616-0ec9-4a20-a26a-de793ad7a4eb;Laboratoire Logissain;21000;Dijon;7bis;Rue de Venise;;21231;;Laboratoire d'analyse médicale;;;5.049361;47.314793;;;True;True;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;EE8J9B1PHFZF
2f2a790a-13ef-47ba-b934-bc0ceccebff6;Laboratoire Lorjou;41000;Blois;5;Place Bernard Lorjou;;;;Laboratoire d'analyse médicale;http://labolorjou.centrevdl@cerballiance.fr;http://www.cerballiance.fr;1.3075206374921675;47.58968948069719;True;;False;;True;True;True;True;False;True;;25.0;False;;True;;;;;;;False;True;True;True;True;;;;;;;;;;False;True;90.0;False;True;battante;manuelle;True;formés;False;;False;;True;;;;;;;;;;;[];;;;;;;;;;False;;;True;False;;;;;
bb2817fc-d0da-49ee-ac86-663e7b5f8e02;Laboratoire LOUSTIC;35000;Rennes;;Place Recteur Henri Le Moal;;35238;;Laboratoire d'analyse médicale;;;-1.704046;48.120899;;;;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;;;;;;;
8e4ea284-7aeb-4b03-8cc1-fd8ac879874e;Laboratoire LS;11100;Narbonne;18;Rue Paul Louis Courier;;11262;;Laboratoire d'analyse médicale;;;3.008862;43.182251;;;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;;;;;;;VDJNYTWTGCY5
ceafd179-5897-4f81-92a1-216e8c042c64;Laboratoire Luceram;19100;Brive-la-Gaillarde;50;Avenue Mal Foch;;19031;;Laboratoire d'analyse médicale;;;1.538901;45.163455;;;;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;V35AWJX1S244
e91b8cf1-7e74-42c8-9a5f-2b7299d474ed;Laboratoire LxBio;12500;Espalion;4;Avenue d'Estaing;;12096;;Laboratoire d'analyse médicale;;;2.764311;44.52464;;;False;;True;True;False;;;;;;;;;;;;;;;;True;True;True;False;;;3.0;True;True;;montant;;;;;80.0;True;True;battante;manuelle;True;formés;;;;;True;;;;;;;;;;;[];;;;;;;;;;False;;;True;True;;;;;5ZVPRYWCBWSE
1b00dc29-0c3e-4b86-b49a-e5ffedb4f539;Laboratoire LxBio;12160;Baraqueville;29;Avenue de Marengo;;12056;;Laboratoire d'analyse médicale;;;2.4302932620048527;44.27715905337094;False;;True;True;True;True;True;True;True;;;;;;;;False;;;aucun;False;False;True;True;True;True;;;;;;;;;;False;;90.0;False;True;battante;manuelle;True;;;;;;True;;;;;;;;;;;[];;;;;;;;;;False;;;True;True;;;;;ANVA53CHQY5C
bf41bc4b-f9ea-4029-bace-2bb1b4ea1c70;Laboratoire LxBio;12150;Sévérac d'Aveyron;69;Avenue du Général de Gaulle;;12270;;Laboratoire d'analyse médicale;;;3.063702285289765;44.32252020800684;False;;True;True;True;;False;;;;;;;;;;;;;;;;True;True;True;True;;;;;;;;;;;;;;True;battante;manuelle;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;;;;;;;6DG3CSR26171
df273273-1309-40ab-bbf5-65316bdfa86e;Laboratoire LxBIO;12450;Luc-la-Primaube;7;Avenue de Rodez;;12133;;Laboratoire d'analyse médicale;;;2.5592377781867985;44.29324582902527;True;;True;True;True;True;False;;;;;;;;;;;;;;;;True;True;True;True;;;;;;;;;;;;80.0;True;True;battante;manuelle;True;formés;;;;;True;;;;;;;;;;;[];;;;;;;;;;False;;;True;True;;;;;7QF9MDMYYKXQ
ad0735c3-06e6-4265-8d8f-016dc7e8e792;Laboratoire LXBIO;12000;Rodez;22;Rue Béteille;;12202;;Laboratoire d'analyse médicale;;;2.572962;44.352646;True;;True;True;True;True;;;;;;;;;;;;;;;;;True;True;True;True;;;;;;;;;;;;100.0;;True;battante;manuelle;True;;;;;;True;;;;;;;;;;;[];;;;;;;;;;False;;;True;True;;;;;6M2Z415XVBDV
99ed29b5-6af3-4346-89c7-9edc5a37b536;Laboratoire Lyon Mermoz - BIOGROUP RHONE ALPES;69008;Lyon;161;Avenue Jean Mermoz;;69388;;Laboratoire d'analyse médicale;;;4.886574;45.731038;;;;;True;True;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;
b09085b2-2e7f-4621-8a96-8dc82ffd8136;Laboratoire Maigret Jacques Jacques;69440;Taluyers;123;Rue de la Cordonnerie;;69241;;Laboratoire d'analyse médicale;;;4.722171;45.63849;;;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;K5FEVBBBD157
812eabb0-7a58-4fda-b3d8-7bd8b298ee3a;Laboratoire Maison Blanche;92320;Châtillon;176;Avenue de Paris;;92020;;Laboratoire d'analyse médicale;;http://www.labomaisonblanche.fr/;2.298855;48.809855;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;80.0;;True;;;;;;;;;;;;;;;;;;;;[];;;;;;;;;;;;;True;True;;;;;QXDMZQWWYPG5
